object_id,stop_id,stop_name,route_id,destination,day_type,peak_ind,average_sec,std_sec,p05_sec,p50_sec,p95_sec
1022,70215,Kent Street,Green-C,Cleveland Circle,weekday,offpeak,472.45,317.95,66,426,1069
1023,70215,Kent Street,Green-C,Cleveland Circle,weekday,peak,501.32,320.47,87,452,1083.15
1024,70240,Prudential,Green-E,Lechmere,sunday,offpeak,680.06,346.26,106.8,687,1218.05
1025,70216,Kent Street,Green-C,North Station,saturday,offpeak,489.98,336.57,78,449,1084.9
1026,70216,Kent Street,Green-C,North Station,sunday,offpeak,515.5,326.27,76.05,494,1099.8
1027,70216,Kent Street,Green-C,North Station,weekday,offpeak,556.92,271.54,158,541,1029.95
1028,70216,Kent Street,Green-C,North Station,weekday,peak,459.09,236.86,111.8,444,898
1029,70217,Saint Paul Street,Green-C,Cleveland Circle,saturday,offpeak,446.59,340.83,69,377,1094.25
1030,70217,Saint Paul Street,Green-C,Cleveland Circle,sunday,offpeak,482.28,348.91,76,422,1124.35
1031,70217,Saint Paul Street,Green-C,Cleveland Circle,weekday,offpeak,486.91,328.4,81,441,1089
1032,70217,Saint Paul Street,Green-C,Cleveland Circle,weekday,peak,520.93,333.3,90,458,1156
1033,70218,Saint Paul Street,Green-C,North Station,saturday,offpeak,487.39,330.45,88,446,1089.4
1034,70218,Saint Paul Street,Green-C,North Station,sunday,offpeak,513.71,313.25,90.4,495,1068.6
1035,70218,Saint Paul Street,Green-C,North Station,weekday,offpeak,554.34,264.9,170,540,1003.45
1036,70218,Saint Paul Street,Green-C,North Station,weekday,peak,457.49,227.84,158.9,444,886.1
1037,70219,Coolidge Corner,Green-C,Cleveland Circle,saturday,offpeak,488.96,375.61,72,421,1199.8
1038,70219,Coolidge Corner,Green-C,Cleveland Circle,sunday,offpeak,512.95,370.82,73,459,1179
1039,70219,Coolidge Corner,Green-C,Cleveland Circle,weekday,offpeak,497.46,342.62,79,445,1136.65
1040,70219,Coolidge Corner,Green-C,Cleveland Circle,weekday,peak,535.16,348.47,89.1,480,1181
1041,70220,Coolidge Corner,Green-C,North Station,saturday,offpeak,487.42,322.78,83,445,1085.8
1042,70220,Coolidge Corner,Green-C,North Station,sunday,offpeak,514.06,305.82,84,497,1033.8
1043,70220,Coolidge Corner,Green-C,North Station,weekday,offpeak,555.26,252.84,173,542,995.2
1044,70220,Coolidge Corner,Green-C,North Station,weekday,peak,456.5,207.61,170,439,825
1045,70223,Summit Avenue,Green-C,Cleveland Circle,saturday,offpeak,489.07,380.6,65,420,1208
1046,70223,Summit Avenue,Green-C,Cleveland Circle,sunday,offpeak,512.26,374.7,68.05,453,1190.95
1047,70223,Summit Avenue,Green-C,Cleveland Circle,weekday,offpeak,497.01,349.53,70,439,1146
1048,70223,Summit Avenue,Green-C,Cleveland Circle,weekday,peak,543.23,360.92,83,494,1236.8
1049,70224,Summit Avenue,Green-C,North Station,saturday,offpeak,488.97,320.93,87,456,1095.65
1050,70224,Summit Avenue,Green-C,North Station,sunday,offpeak,514.82,298.83,95,498,1006.5
1051,70224,Summit Avenue,Green-C,North Station,weekday,offpeak,557.25,257.06,162.65,545,995
1052,70224,Summit Avenue,Green-C,North Station,weekday,peak,457.93,214.35,150.15,447,842.7
1053,70225,Brandon Hall,Green-C,Cleveland Circle,saturday,offpeak,489,381.23,49,425,1225.4
1054,70225,Brandon Hall,Green-C,Cleveland Circle,sunday,offpeak,513.74,382.08,46,453,1206.1
1055,70225,Brandon Hall,Green-C,Cleveland Circle,weekday,offpeak,496.27,352.52,68,444,1160.3
1056,70225,Brandon Hall,Green-C,Cleveland Circle,weekday,peak,543.48,360.97,81,480,1246.6
1057,70226,Brandon Hall,Green-C,North Station,saturday,offpeak,487.49,314.31,76.45,448.5,1082.55
1058,70226,Brandon Hall,Green-C,North Station,sunday,offpeak,515.5,293.85,87.1,507,1012.1
1059,70226,Brandon Hall,Green-C,North Station,weekday,offpeak,557.51,250.47,171.65,549,983
1060,70226,Brandon Hall,Green-C,North Station,weekday,peak,456.6,207.16,144.05,446,829.9
1061,70227,Fairbanks Street,Green-C,Cleveland Circle,saturday,offpeak,489.75,386.24,45.7,419,1219.6
1062,70227,Fairbanks Street,Green-C,Cleveland Circle,sunday,offpeak,512.48,383.38,48,449,1204
1063,70227,Fairbanks Street,Green-C,Cleveland Circle,weekday,offpeak,495.6,358.59,56,440,1165.85
1064,70227,Fairbanks Street,Green-C,Cleveland Circle,weekday,peak,543.41,361.32,74,485.5,1233.7
1065,70228,Fairbanks Street,Green-C,North Station,saturday,offpeak,489.02,312.79,72,449,1082.5
1066,70228,Fairbanks Street,Green-C,North Station,sunday,offpeak,515.11,290.51,77.05,506,1000.9
1067,70228,Fairbanks Street,Green-C,North Station,weekday,offpeak,557.22,248.83,173,547,985.15
1068,70228,Fairbanks Street,Green-C,North Station,weekday,peak,456.95,204.77,156,447,831.7
1069,70240,Prudential,Green-E,Lechmere,weekday,offpeak,483.11,259.66,98,455,951
1070,70240,Prudential,Green-E,Lechmere,weekday,peak,418.61,228.02,78,395,826.1
1071,70241,Symphony,Green-E,Heath St,saturday,offpeak,575.57,338.91,84.4,551,1148
1072,70241,Symphony,Green-E,Heath St,sunday,offpeak,681.71,364.3,94,694,1281.7
1073,70241,Symphony,Green-E,Heath St,weekday,offpeak,488.49,250.97,109,475.5,927
1074,70241,Symphony,Green-E,Heath St,weekday,peak,399.24,234.28,80,371,838.2
1075,70242,Symphony,Green-E,Lechmere,saturday,offpeak,615.52,395.13,86,573,1299.6
1076,70242,Symphony,Green-E,Lechmere,sunday,offpeak,736.14,430.34,130.3,699,1537.25
1077,70242,Symphony,Green-E,Lechmere,weekday,offpeak,502.91,275.14,111,466,1009
1078,70242,Symphony,Green-E,Lechmere,weekday,peak,433.09,235.43,95,404,854
1079,70243,Northeastern University,Green-E,Heath St,saturday,offpeak,567.83,363.45,63,541,1233
1080,70243,Northeastern University,Green-E,Heath St,sunday,offpeak,661.76,395.78,57.05,665,1386
1081,70243,Northeastern University,Green-E,Heath St,weekday,offpeak,487.29,285.47,68,463,1005
1082,70243,Northeastern University,Green-E,Heath St,weekday,peak,399.47,262.89,64.7,357,894.9
1083,70244,Northeastern University,Green-E,Lechmere,saturday,offpeak,595.95,346.07,103,566,1221.25
1084,70244,Northeastern University,Green-E,Lechmere,sunday,offpeak,730.25,397.21,133.7,699,1476
1085,70244,Northeastern University,Green-E,Lechmere,weekday,offpeak,497.02,259.85,126,463,962
1086,70244,Northeastern University,Green-E,Lechmere,weekday,peak,431.81,219.88,114,402,821.1
1087,70245,Museum of Fine Arts,Green-E,Heath St,saturday,offpeak,563.08,360.15,82,539,1242.5
1088,70245,Museum of Fine Arts,Green-E,Heath St,sunday,offpeak,659.15,391.08,84,640,1355
